"","e","n","elev"
"1",316427.428579516,5219211.91429357,0
"2",316456.842796965,5219242.45953329,0
"3",316477.181688168,5219264.44830043,0
"4",316475.478667598,5219294.01142075,0
"5",316489.168838351,5219314.6685244,0
"6",316514.395640991,5219342.38060162,0
"7",316528.710280117,5219374.56814737,0
"8",316549.066957761,5219427.71328805,0
"9",316574.209873145,5219469.9476421,0
"10",316594.616131206,5219498.8768593,0
"11",316615.905680855,5219532.93269263,0
"12",316643.219657481,5219555.66054219,0
"13",316664.213261496,5219579.50583538,0
"14",316684.608028704,5219623.13328921,0
"15",316709.329644953,5219653.06527164,0
"16",316742.198466572,5219668.56111263,0
"17",316773.184657587,5219680.45634838,0
"18",316804.496540612,5219709.46351829,0
"19",316822.165352243,5219735.55882987,0
"20",316838.36543691,5219760.63800503,0
"21",316859.348877861,5219790.28326641,0
"22",316873.718640943,5219819.78926327,0
"23",316894.735317322,5219841.58147938,0
"24",316916.176847473,5219858.00437502,0
"25",316924.195124898,5219888.75931532,0
"26",316926.604379347,5219917.84799385,0
"27",316940.288498185,5219950.4869641,0
"28",316949.279235286,5219986.70215966,0
"29",316974.168838548,5220006.82746112,0
"30",316996.504687314,5220027.42505439,0
"31",317018.045979442,5220050.91260566,0
"32",317029.853284839,5220072.35458093,0
"33",317027.921009859,5220092.02689915,0
"34",317038.248628936,5220114.83867733,0
"35",317054.732485735,5220143.14000948,0
"36",317070.194133959,5220172.98424409,0
"37",317085.480102497,5220201.63400653,0
"38",317104.598716269,5220206.2373919,0
"39",317127.519762691,5220194.57009888,0
"40",317146.844673414,5220192.62526999,0
"41",317173.440471007,5220202.49033895,0
"42",317195.655026145,5220224.85846077,0
"43",317204.921915151,5220248.14397129,0
"44",317204.857945134,5220278.28860419,0
"45",317190.311124305,5220316.19334466,0
"46",317192.574404065,5220344.77557623,0
"47",317184.984692419,5220369.79361313,0
"48",317169.212816576,5220385.65215403,0
"49",317155.581881061,5220406.45594145,0
"50",317148.575504662,5220427.49704142,0
"51",317147.139155229,5220450.28588536,0
"52",317170.816198822,5220472.88183783,0
"53",317212.40093632,5220499.18551759,0
"54",317234.234729458,5220518.20133845,0
"55",317257.171759057,5220535.73194824,0
"56",317280.596038763,5220555.89393361,0
"57",317298.34191617,5220589.13892671,0
"58",317296.473010943,5220624.42896983,0
"59",317326.269084435,5220642.33981874,0
"60",317361.45098191,5220652.62843453,0
"61",317372.328641971,5220676.49008606,0
"62",317365.490679095,5220706.08860357,0
"63",317369.049440777,5220733.99930347,0
"64",317385.410095401,5220758.45656092,0
"65",317408.356570094,5220766.86142225,0
"66",317444.597462991,5220774.40770317,0
"67",317472.811287677,5220796.97876703,0
"68",317485.445817593,5220826.73439718,0
"69",317473.74111927,5220865.20349639,0
"70",317484.774295416,5220898.64200192,0
"71",317502.672677687,5220933.6441574,0
"72",317518.451887581,5220963.84563818,0
"73",317533.210609995,5220995.6174692,0
"74",317523.447064265,5221038.21009626,0
"75",317534.620052189,5221072.10152243,0
"76",317564.549905112,5221084.32806368,0
"77",317589.294677756,5221089.47079531,0
"78",317612.863230092,5221125.44242199,0
"79",317633.460347651,5221159.35714738,0
"80",317662.467102547,5221187.94110163,0
"81",317697.526250964,5221227.68492631,0
"82",317726.340552868,5221261.88784963,0
"83",317741.311442971,5221293.12095259,0
"84",317745.213738696,5221322.2328787,0
"85",317755.48141358,5221340.31866121,0
"86",317771.956046815,5221358.89998352,0
"87",317793.621020499,5221374.49641136,0
"88",317808.997033354,5221397.15695637,0
"89",317823.088892858,5221422.33915564,0
"90",317834.373132656,5221443.90526503,0
"91",317839.593002526,5221467.77007673,0
"92",317839.847093171,5221489.85432926,0
"93",317839.2271682,5221511.25242417,0
"94",317837.957791359,5221527.19893813,0
"95",317847.215670726,5221545.05632941,0
"96",317857.293800435,5221556.49805548,0
"97",317875.848595177,5221585.88984099,0
"98",317888.78816304,5221608.04951928,0
"99",317905.780541879,5221637.62668051,0
"100",317909.569792583,5221656.13264624,0
"101",317907.348465921,5221684.03925225,0
"102",317915.639640472,5221700.43183304,0
"103",317928.618307464,5221716.26863293,0
"104",317956.958430422,5221741.34128142,0
"105",317969.434295234,5221759.60726334,0
"106",317984.586142118,5221787.03377113,0
"107",317994.677551624,5221808.22105165,0
"108",318013.642477379,5221834.40496353,0
"109",318031.865143366,5221854.35847418,0
"110",318053.80844136,5221872.29116978,0
"111",318074.467599088,5221892.74553355,0
"112",318088.652286041,5221918.70645404,0
"113",318099.02356446,5221945.90939155,0
"114",318126.289008101,5221955.3129999,0
"115",318152.455905274,5221968.79589431,0
"116",318182.753601924,5221977.05017088,0
"117",318215.317135781,5221997.6726414,0
"118",318236.332805656,5222007.81745647,0
"119",318266.816264889,5222017.62942645,0
"120",318290.585912068,5222024.28853412,0
"121",318303.750291572,5222041.68289641,0
"122",318310.030073317,5222067.79173203,0
"123",318311.158435009,5222090.56240232,0
"124",318320.695018829,5222110.75652553,0
"125",318341.022566948,5222121.77304242,0
"126",318364.660800311,5222133.97666344,0
"127",318387.278406006,5222137.61341037,0
"128",318405.118514074,5222154.11078568,0
"129",318409.65000258,5222178.84698114,0
"130",318411.783983315,5222196.75929671,0
"131",318430.362981215,5222206.40311686,0
"132",318459.151917396,5222221.94441484,0
"133",318484.352017005,5222233.96231465,0
"134",318501.96427561,5222242.14121523,0
"135",318526.793312892,5222251.04394378,0
"136",318546.471011122,5222256.60855423,0
"137",318573.868418171,5222260.46796012,0
"138",318592.16927695,5222267.77547418,0
"139",318611.08071226,5222286.85766435,0
"140",318623.835011618,5222307.4598156,0
"141",318636.233091155,5222338.37174598,0
"142",318644.617275823,5222355.54319355,0
"143",318664.310220061,5222374.53296111,0
"144",318685.5119017,5222386.23560288,0
"145",318705.390599497,5222406.78315363,0
"146",318722.686141566,5222418.94908842,0
"147",318742.735627052,5222427.62927744,0
"148",318766.452043194,5222427.18672208,0
"149",318791.452683359,5222424.22246282,0
"150",318819.354071062,5222425.65322674,0
"151",318839.899135955,5222412.78255112,0
"152",318857.164361162,5222398.09833679,0
"153",318879.078016779,5222389.18130483,0
"154",318904.673305382,5222384.56649998,0
"155",318921.025492764,5222375.51918695,0
"156",318931.298512824,5222355.34580881,0
"157",318945.067611818,5222337.91705449,0
"158",318964.227422964,5222332.48582566,0
"159",318978.421464251,5222325.27406429,0
"160",319007.883983584,5222326.51908923,0
"161",319036.750869135,5222329.41436381,0
"162",319063.513451821,5222341.24696917,0
"163",319087.654029453,5222351.02112685,0
"164",319106.379760059,5222368.5456234,0
"165",319121.84882918,5222391.98495065,0
"166",319134.47133029,5222418.13128873,0
"167",319134.040742985,5222444.05961608,0
"168",319133.606460746,5222467.01526538,0
"169",319128.763101642,5222492.86314335,0
"170",319120.013565198,5222519.1742251,0
"171",319103.915580154,5222550.30570337,0
"172",319085.73741032,5222570.62669728,0
"173",319066.050594594,5222598.23478161,0
"174",319062.227931231,5222632.6494473,0
"175",319060.56342638,5222665.22864565,0
"176",319058.063868461,5222690.79870609,0
"177",319058.557532727,5222721.54250984,0
"178",319047.00042255,5222744.23774545,0
"179",319029.549659588,5222757.36446927,0
"180",319020.931919029,5222778.13161173,0
"181",319024.233225494,5222812.49179409,0
"182",319021.421907026,5222836.0080234,0
"183",319022.51122597,5222865.10139393,0
"184",319030.763457608,5222887.81677743,0
"185",319050.734310386,5222909.14253944,0
"186",319083.282960297,5222916.33999908,0
"187",319106.124581089,5222915.2109602,0
"188",319128.91239034,5222906.98009979,0
"189",319146.734402875,5222896.96868983,0
"190",319167.905950169,5222881.82128165,0
"191",319194.39969157,5222858.14472695,0
"192",319219.477635764,5222842.53406613,0
"193",319237.392614491,5222833.30142754,0
"194",319264.497166761,5222821.39943566,0
"195",319287.881117544,5222811.51824673,0
"196",319310.855054828,5222804.84488862,0
"197",319330.796770868,5222799.32090437,0
"198",319366.04663786,5222795.93066058,0
"199",319393.259464489,5222798.2323417,0
"200",319416.712635425,5222808.87798292,0
"201",319439.345673767,5222825.93943138,0
"202",319455.744901561,5222837.24792059,0
"203",319479.661146207,5222851.78744077,0
"204",319498.797176612,5222866.10405057,0
"205",319512.703932523,5222889.7286219,0
"206",319533.641998161,5222912.51947463,0
"207",319555.415328549,5222942.31961433,0
"208",319564.898190492,5222955.41166737,0
"209",319580.089362941,5222976.51478698,0
"210",319601.701301384,5222985.00946083,0
"211",319617.566108251,5222991.8162349,0
"212",319649.574241058,5223007.76624814,0
"213",319668.022582841,5223022.9547528,0
"214",319685.001217962,5223039.10740255,0
"215",319701.33036523,5223049.80839788,0
"216",319718.444369668,5223058.12518393,0
"217",319720.880911726,5223058.62605016,0
"218",319738.361671115,5223072.34915751,0
"219",319751.750637564,5223084.97791447,0
"220",319778.923836138,5223093.60273674,0
"221",319801.448540699,5223096.46038447,0
"222",319825.443073747,5223098.35396057,0
"223",319841.678942114,5223108.27583304,0
"224",319856.220626587,5223123.92729094,0
"225",319860.79147874,5223142.34071501,0
"226",319855.669940097,5223165.85251751,0
"227",319846.549288892,5223189.04872033,0
"228",319837.877638755,5223202.71394951,0
"229",319829.987259569,5223216.28654906,0
"230",319830.651894754,5223235.16329501,0
"231",319834.812846511,5223256.7847816,0
"232",319851.922973959,5223267.3931135,0
"233",319877.163133696,5223273.08844789,0
"234",319889.590892647,5223285.81509823,0
"235",319909.825315092,5223296.05241299,0
"236",319931.026617515,5223307.7546877,0
"237",319957.588954629,5223304.60484619,0
"238",319990.91918326,5223311.70970877,0
"239",320006.598076647,5223316.95872473,0
"240",320033.693485957,5223338.22969328,0
"241",320040.461399497,5223348.48446158,0
"242",320054.778520509,5223368.9013826,0
"243",320061.878759272,5223388.59448689,0
"244",320063.139060238,5223405.82089811,0
"245",320055.024275069,5223424.1589903,0
"246",320053.530735276,5223444.87124777,0
"247",320055.995024156,5223466.55785221,0
"248",320071.688546401,5223485.23154572,0
"249",320088.480654594,5223499.82600346,0
"250",320098.481068537,5223523.91368868,0
"251",320103.662377316,5223554.10149553,0
"252",320106.817284957,5223580.58066704,0
"253",320108.185261578,5223612.01063991,0
"254",320106.614088141,5223643.27537868,0
"255",320100.80408639,5223667.65828469,0
"256",320089.935545598,5223689.48188443,0
"257",320081.874657373,5223714.92149322,0
"258",320084.565485491,5223737.50646439,0
"259",320097.04121997,5223755.77186764,0
"260",320104.844487782,5223788.01793084,0
"261",320107.999296279,5223814.49690617,0
"262",320104.865315482,5223848.0400797,0
"263",320100.617877236,5223872.23775329,0
"264",320100.091047214,5223894.41464362,0
"265",320107.191012585,5223914.10753237,0
"266",320097.064866319,5223942.16168309,0
"267",320078.105651633,5223962.57554938,0
"268",320069.224689228,5223994.43123779,0
"269",320085.738451401,5224006.68944558,0
"270",320100.611962358,5224031.7791965,0
"271",320098.967652433,5224050.00318985,0
"272",320096.87835018,5224072.36529932,0
"273",320098.880818676,5224095.82180288,0
"274",320097.162699458,5224121.29914896,0
"275",320087.578346612,5224140.60118833,0
"276",320063.746162074,5224160.01329097,0
