"","e","n","elev"
"1",316441.095689923,5219214.96211311,0
"2",316396.047832404,5219237.97462705,0
"3",316396.910923842,5219275.42597496,0
"4",316367.091972781,5219299.20474738,0
"5",316376.895399001,5219339.86859589,0
"6",316386.345907047,5219413.20668234,0
"7",316377.472577805,5219456.16298088,0
"8",316346.776252632,5219488.45199393,0
"9",316345.488889477,5219540.49143719,0
"10",316372.608556387,5219596.33019303,0
"11",316369.49700675,5219640.89375759,0
"12",316336.066653332,5219674.08869616,0
"13",316299.678178322,5219683.37990193,0
"14",316265.277857695,5219689.4221731,0
"15",316279.502823841,5219784.69562248,0
"16",316331.462560873,5219782.44575657,0
"17",316347.172300406,5219825.32076292,0
"18",316331.441408656,5219887.39594575,0
"19",316343.818063717,5219939.67387197,0
"20",316398.36928031,5219959.07527906,0
"21",316451.639378038,5219984.42334891,0
"22",316509.332014109,5220039.41922907,0
"23",316560.434337578,5220124.36406975,0
"24",316619.298874713,5220159.90109365,0
"25",316671.575909733,5220225.44617631,0
"26",316722.781170927,5220274.55852862,0
"27",316786.652046283,5220340.49333264,0
"28",316856.725237282,5220408.00485787,0
"29",316927.094659415,5220498.69223993,0
"30",316963.761530696,5220555.35554828,0
"31",316960.53324596,5220610.87248934,0
"32",316953.247313919,5220638.68724388,0
"33",316915.916745813,5220648.21998619,0
"34",316895.936259751,5220705.32221514,0
"35",316900.638187255,5220770.74379327,0
"36",316942.906130582,5220873.37673852,0
"37",316994.690881508,5220933.16730048,0
"38",317052.023884773,5220991.78078141,0
"39",317152.357246675,5220992.589741,0
"40",317159.267305177,5221020.22912318,0
"41",317158.868580298,5221064.50943456,0
"42",317153.83782785,5221124.83494242,0
"43",317164.217319612,5221214.27732236,0
"44",317176.744452963,5221297.35161763,0
"45",317214.331685637,5221370.91371178,0
"46",317265.605846405,5221483.50329194,0
"47",317295.149720094,5221536.65348109,0
"48",317350.193181853,5221563.74246397,0
"49",317367.349896847,5221687.78228637,0
"50",317391.443432239,5221873.59214131,0
"51",317494.972783398,5222017.38260477,0
"52",317527.401348121,5222051.2036749,0
"53",317564.254229734,5222067.34059349,0
"54",317582.898781326,5222118.45047114,0
"55",317630.267599283,5222156.22409171,0
"56",317653.739918698,5222181.74605183,0
"57",317717.94023612,5222180.89372561,0
"58",317758.049745677,5222233.14620566,0
"59",317785.507677436,5222253.93158654,0
"60",317840.997593426,5222253.40571001,0
"61",317879.6468061,5222333.74769098,0
"62",317918.056407469,5222359.21135609,0
"63",317969.394750396,5222486.51621212,0
"64",318016.438157549,5222530.55032382,0
"65",318088.322794878,5222533.27973076,0
"66",318156.997403925,5222569.81968997,0
"67",318182.267014,5222633.36483377,0
"68",318228.234938573,5222676.77036213,0
"69",318223.780981336,5222744.3451687,0
"70",318245.463995979,5222801.72896573,0
"71",318268.409650151,5222908.924363,0
"72",318356.025958555,5222927.10408113,0
"73",318409.961011192,5222943.82070611,0
"74",318473.127392804,5222933.72334035,0
"75",318553.345034189,5222943.1052828,0
"76",318616.008301963,5222968.55675305,0
"77",318668.57385697,5222983.72290626,0
"78",318693.029123247,5223077.23859174,0
"79",318684.120748963,5223116.17175133,0
"80",318729.439397885,5223137.73838056,0
"81",318759.42242258,5223166.07967668,0
"82",318759.323503061,5223227.26584117,0
"83",318754.079526624,5223249.98158072,0
"84",318691.492638206,5223330.04408661,0
"85",318709.47232837,5223372.35513725,0
"86",318713.672141896,5223416.95444753,0
"87",318739.296405916,5223446.70458572,0
"88",318788.627301223,5223445.4193379,0
"89",318816.153771881,5223458.07266456,0
"90",318859.340352681,5223433.99490093,0
"91",318877.952199072,5223336.05414105,0
"92",318923.474241506,5223343.00180211,0
"93",318960.740194353,5223354.80710152,0
"94",318961.384778569,5223401.02997966,0
"95",318992.939568995,5223438.16543728,0
"96",319056.884285741,5223452.9158222,0
"97",319101.558562145,5223450.15511327,0
"98",319126.748824844,5223423.1291379,0
"99",319166.337119998,5223396.73086054,0
"100",319191.95571546,5223391.86663374,0
"101",319237.702096602,5223448.83759643,0
"102",319263.249052726,5223484.60145298,0
"103",319256.05992514,5223531.88225066,0
"104",319265.598002058,5223584.85530482,0
"105",319298.205229785,5223595.18483375,0
"106",319333.153122469,5223662.50064141,0
"107",319363.231784908,5223730.24073734,0
"108",319407.076102603,5223812.96174881,0
"109",319432.918138155,5223866.77406424,0
"110",319521.506538223,5223907.57898491,0
"111",319569.350510402,5223884.97673041,0
"112",319592.421041366,5223850.98682924,0
"113",319654.251335138,5223893.38618655,0
"114",319666.327078672,5223932.21684886,0
"115",319734.076539809,5223930.07991635,0
"116",319789.128473105,5223955.38599728,0
"117",319804.798733463,5223970.57639105,0
"118",319834.015426704,5223968.03234491,0
"119",319848.627299669,5223984.06742017,0
"120",319849.754396769,5224019.27366046,0
"121",319856.628121252,5224086.60979634,0
"122",319835.727195487,5224135.85401405,0
"123",319861.408920306,5224210.36520913,0
"124",319918.176669151,5224204.78998398,0
"125",319981.79454777,5224183.9681751,0
"126",320041.373247657,5224173.95307942,0
"127",320081.145775311,5224148.99592594,0
"128",320100.881772923,5224123.23054496,0
"129",320105.675403602,5224087.13471522,0
"130",320102.266823611,5224050.22513576,0
"131",320093.880872992,5224021.66965976,0
