TRANSMITTER,SEX,LENGTH,WEIGHT,BASIN
366mm_M_a_t,M,366,556,1
367mm_U_a_t,U,367,510,1
375mm_U_a_t,U,375,499,1
380mm_M_a_t,M,380,456,2
382mm_F_a_t,F,382,603,2
385mm_M_a_t,M,385,455,3
392mm_M_a_t,M,392,595,2
396mm_U_b_t,U,396,740,3
404mm_U_a_t,U,404,715,2
406mm_M_a_t,M,406,555,3
407mm_M_a_t,M,407,776,1
410mm_F_a_t,F,410,710,1
418mm_U_a_t,U,418,631,2
423mm_U_a_t,U,423,777,1
434mm_F_a_t,F,434,805,3
440mm_U_a_t,U,440,840,2
443mm_M_a_t,M,443,840,3
445mm_F_a_t,F,445,1198,2
450mm_U_a_t,U,450,912,1
450mm_U_b_t,U,450,1057,3
461mm_U_a_t,U,461,865,3
467mm_M_a_t,M,467,870,2
469mm_F_a_t,F,469,920,1
471mm_M_a_t,M,471,980,2
474mm_U_a_t,U,474,692,3
475mm_M_a_t,M,475,1006,1
476mm_F_a_t,F,476,1184,3
476mm_F_b_t,F,476,1049,3
480mm_F_a_t,F,480,1046,1
480mm_F_b_t,F,480,892,1
489mm_U_a_t,U,489,1150,2
490mm_F_a_t,F,490,828,3
492mm_F_a_t,F,492,872,2
502mm_F_a_t,F,502,1485,2
504mm_F_a_t,F,504,1399,2
505mm_M_a_t,M,505,1114,2
510mm_M_a_t,M,510,1191,3
510mm_M_b_t,M,510,1221,3
514mm_M_a_t,M,514,1243,1
515mm_F_a_t,F,515,1153,3
516mm_M_a_t,M,516,1146,3
522mm_F_a_t,F,522,1194,3
523mm_M_a_t,M,523,1323,2
524mm_U_a_t,U,524,1191,2
526mm_U_a_t,U,526,1439,1
527mm_M_a_t,M,527,1175,2
534mm_M_a_t,M,534,1281,2
543mm_F_b_t,F,543,1422,3
552mm_M_a_t,M,552,1188,2
556mm_F_a_t,F,556,1548,2
561mm_M_a_t,M,561,949,3
566mm_U_a_t,U,566,1647,3
570mm_M_a_t,M,570,1350,1
584mm_F_a_t,F,584,1754,3
601mm_M_a_t,M,601,1643,3
609mm_M_a_t,M,609,1619,2
625mm_U_a_t,U,625,2920,2
845mm_F_a_t,F,845,5062,1
